Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,928598,947479,522259,-103238
Depreciation & amortization,-,206315,181639,176093
Change in working capital,-,-150714,-140861,-145978
Inventory,-,-43894,-12027,-24025
Other working capital,-,511525,658136,-249453
Other non-cash items,-,68480,171656,-9369
Net cash provided by operating activites,-,778099,868602,-39196
Investments in property plant and equipment,-,-266574,-210466,-210257
Acquisitions net,-,-23781,-,-
Purchases of investments,-,-3630916,0,-238980
Sales/Maturities of investments,-,870200,83700,8400
Other investing activites,-,-5756,-15691,-151199
Net cash used for investing activites,-,-3056827,-142457,-592036
Net change in cash,-,816237,808763,-619917
Cash at beginning of period,-,4237053,3428289,4048206
Cash at end of period,-,5053290,4237053,3428289
Operating Cash Flow,-,778099,868602,-39196
Capital Expenditure,-,-266574,-210466,-210257
Free Cash Flow,-,511525,658136,-249453
