Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2592,-2712,-12255,-10427,-5404
Purchases of investments,-9659,-10105,-,-,-
Sales/Maturities of investments,-,-,-,-,143
Other investing activites,-9029,-9446,-13034,-6324,-1603
Net cash used for investing activites,-21277,-22260,-25289,-15826,-6401
Debt repayment,-,-,-2240,-3026,-2980
Common stock repurchased,-4038,-4225,-,-,-
Other financing activites,-1521,-1591,195,-,-
Net cash used privided by (used for) financing activities,-7855,-8218,-4632,32531,-2980
Net change in cash,-173.0071,-181,-8713,25567,860
Cash at beginning of period,19288,20179,28892,3325,2465
Cash at end of period,22974,24035,20179,28892,3325
Capital Expenditure,-2592,-2712,-12255,-10427,-5404
Free Cash Flow,26367,27585,8953,-1565,4837
