Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3320,-2171,-2106,-1006,-1461
Purchases of investments,-,-250,-30,-,-
Sales/Maturities of investments,-,-,-,4.05,-
Other investing activites,-,-,-724.359,-199.052,551.629
Net cash used for investing activites,-2203,-2021,-2797,-1200,-909.705
Debt repayment,-,-,-,-5.371,-
Common stock issued,6500,4226,3585,1200,-
Common stock repurchased,-140.308,-321.292,-190.87,-89.521,-
Other financing activites,108.289,156.602,29.708,886.533,-
Net cash used privided by (used for) financing activities,6468,4061,3424,1997,-
Net change in cash,2302,403.044,-305.467,329.526,-1712
Cash at beginning of period,2604,288.007,594.029,262.657,2014
Cash at end of period,4906,691.016,288.007,594.029,262.657
Capital Expenditure,-3320,-2171,-2106,-1006,-1461
Free Cash Flow,-5282,-3808,-3038,-1473,-2263
