Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-71464,1226,115147,304782
Depreciation & amortization,-,474157,485010,433326
Change in working capital,-,-11338,-96727,24138
Inventory,-,26402,-104533,13533
Other working capital,-,-42269,-112620,228000
Other non-cash items,-,27347,29053,38122
Net cash provided by operating activites,-,504803,460439,673949
Investments in property plant and equipment,-,-547072,-573059,-445949
Acquisitions net,-,-,-461055,-
Purchases of investments,-,-5698,-5630,-5579
Sales/Maturities of investments,-,-,23703,-
Other investing activites,-,-1,1,-
Net cash used for investing activites,-,-546394,-1005492,-451528
Net change in cash,-,-88425,-35070,-135934
Cash at beginning of period,-,449886,484957,620892
Cash at end of period,-,361461,449886,484957
Operating Cash Flow,-,504803,460439,673949
Capital Expenditure,-,-547072,-573059,-445949
Free Cash Flow,-,-42269,-112620,228000
