Breakdown,10/31/2019,10/31/2018,10/31/2017
Total Assets,155890,158038,163257
Liabilities,,,
Total Liabilities,55364,57316,49619
Stockholders' Equity,,,
Common Stock,109869,114469,112271
Retained Earnings,-71.59,-93.986,-252.601
Total stockholders' equity,100526,100722,113638
Total liabilities and stockholders' equity,155890,158038,163257
