Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Investments in property plant and equipment,-35704,-35704,-25698,-28290,-19545
Purchases of investments,-85901,-85901,-56608,-,-
Net cash used for investing activites,-116539,-116539,-82306,-27777,-13069
Debt repayment,-2585935,-2585935,-2660000,-1615198,-1374147
Dividends Paid,-38171,-38171,-34464,-34286,-24430
Other financing activites,-891,-891,-941,-1601,-1455
Net cash used privided by (used for) financing activities,97272,97272,24830,-53085,-72836
Net change in cash,-7658,-7658,-3825,14620,-3048
Cash at beginning of period,35948,35948,39776,25489,28047
Cash at end of period,28237,28237,35948,39776,25489
Capital Expenditure,-35704,-35704,-25698,-28290,-19545
Free Cash Flow,-24095,-24095,27953,67192,63312
