Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-25.538,-48.005,-527.436,-11.71
Acquisitions net,-,-,-1750,-700,-
Purchases of investments,-,-,-1750,-,-25
Sales/Maturities of investments,-,-,35.804,-,7.603
Other investing activites,-,-33.155,-28.224,3228,-3250
Net cash used for investing activites,2432,1666,-1757,2010,-3279
Common stock issued,-,-,362,-,-
Common stock repurchased,-,-2.235,-29.197,-,-
Net cash used privided by (used for) financing activities,-,-2.235,332.803,-,-
Net change in cash,-431.331,-1376,-4263,-331.991,-5518
Cash at beginning of period,2580,4279,8542,8874,14391
Cash at end of period,2149,2903,4279,8542,8874
Capital Expenditure,-,-25.538,-48.005,-527.436,-11.71
Free Cash Flow,-2873,-3065,-2887,-2869,-2250
