Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,173933,173933,158525,141599,136742
Interest Expense,22544,22544,15357,7246,4918
Income Before Tax,75660,75660,67548,55182,56271
Income Tax Expense,9593,9593,12031,17139,15244
Income from Continuing Operations,66067,66067,55517,38043,41027
Net Income,66067,66067,55517,38043,41027
Net Income available to common shareholders,66067,66067,55517,38043,41027
Basic EPS,-,-,2.45,1.69,1.84
Diluted EPS,-,-,2.42,1.66,1.80
Basic Average Shares,-,-,22619,22532,22356
Diluted Average Shares,-,-,22944,22983,22792
