Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,570000,810000,307000,78000
Depreciation & amortization,-,707000,816000,842000
Change in working capital,-,76000,-3113000,-25000
Inventory,-,-102000,-381000,-470000
Other working capital,-,902000,-3111000,-303000
Other non-cash items,-,36000,16000,3000
Net cash provided by operating activites,-,1527000,-2038000,738000
Investments in property plant and equipment,-,-625000,-1073000,-1041000
Acquisitions net,-,-,-63000,-
Purchases of investments,-,-122000,0,0
Sales/Maturities of investments,-,319000,-,2846000
Other investing activites,-,-86000,1000,7000
Net cash used for investing activites,-,-397000,-1131000,1997000
Net change in cash,-,1275000,-2256000,2518000
Cash at beginning of period,-,2624000,4881000,2363000
Cash at end of period,-,3899000,2624000,4881000
Operating Cash Flow,-,1527000,-2038000,738000
Capital Expenditure,-,-625000,-1073000,-1041000
Free Cash Flow,-,902000,-3111000,-303000
