Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2660794,2922634,3373735,2073461
Depreciation & amortization,-,304749,297941,213108
Change in working capital,-,110684,543751,-15053
Inventory,-,-63,1866,-32285
Other working capital,-,3202320,3412466,2385240
Other non-cash items,-,65737,-78124,-6544
Net cash provided by operating activites,-,3322379,3585497,2481238
Investments in property plant and equipment,-,-120059,-173031,-95998
Acquisitions net,-,-307093,-,-
Purchases of investments,-,-90093,-93509,-736577
Sales/Maturities of investments,-,101837,136389,-
Other investing activites,-,-128037,-47220,11547
Net cash used for investing activites,-,-432761,1396080,-818862
Net change in cash,-,2459796,4001126,1443996
Cash at beginning of period,-,10815246,6731203,5287207
Cash at end of period,-,13275043,10815246,6731203
Operating Cash Flow,-,3322379,3585497,2481238
Capital Expenditure,-,-120059,-173031,-95998
Free Cash Flow,-,3202320,3412466,2385240
