Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1734232,1576295,1381646,1275325
Depreciation & amortization,-,254649,233061,208095
Change in working capital,-,333296,375620,541728
Inventory,-,-2728,25876,-26258
Other working capital,-,2123767,1915707,2195280
Other non-cash items,-,12899,89233,28224
Net cash provided by operating activites,-,2707951,2278471,2481069
Investments in property plant and equipment,-,-584184,-362764,-285789
Purchases of investments,-,-18863,-39441,-39441
Sales/Maturities of investments,-,1511,0,12234
Other investing activites,-,-129609,-191182,-214067
Net cash used for investing activites,-,-731145,-593387,-527063
Net change in cash,-,544627,305465,-649759
Cash at beginning of period,-,4171521,3866056,4515815
Cash at end of period,-,4716148,4171521,3866056
Operating Cash Flow,-,2707951,2278471,2481069
Capital Expenditure,-,-584184,-362764,-285789
Free Cash Flow,-,2123767,1915707,2195280
