Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1168936,1429217,1594994,1107953
Depreciation & amortization,-,1012677,1000928,562062
Change in working capital,-,-399893,-439432,583277
Inventory,-,-452762,-577181,817015
Other working capital,-,650639,1108148,987292
Other non-cash items,-,152401,-33568,509046
Net cash provided by operating activites,-,1520119,1882869,3195926
Investments in property plant and equipment,-,-869480,-774721,-2208634
Purchases of investments,-,-3147,-3048,-2930
Sales/Maturities of investments,-,16395,-,60630
Other investing activites,-,-273,-145,-11337
Net cash used for investing activites,-,-855436,-776269,-2161184
Net change in cash,-,-444816,427082,288346
Cash at beginning of period,-,2489124,2062041,1773695
Cash at end of period,-,2044307,2489124,2062041
Operating Cash Flow,-,1520119,1882869,3195926
Capital Expenditure,-,-869480,-774721,-2208634
Free Cash Flow,-,650639,1108148,987292
