Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Net Income,159775,102246,88141,82390,186020
Depreciation & amortization,-,19569,14962,12885,19230
Change in working capital,-,-103145,-54705,-44343,77301
Inventory,-,-661,3072,-59,-4349
Other working capital,-,-1038,104167,72567,303831
Other non-cash items,-,-9613,67310,28161,84676
Net cash provided by operating activites,-,22176,116441,73326,311779
Investments in property plant and equipment,-,-23214,-12274,-759,-7948
Acquisitions net,-,-142197,-26247,-,-
Purchases of investments,-,-96019,-9039,-,-86466
Sales/Maturities of investments,-,107567,-,-,-
Other investing activites,-,5489,-4929,-25,-910
Net cash used for investing activites,-,-145141,-42523,-68670,-95324
Net change in cash,-,-143888,24906,-11604,210933
Cash at beginning of period,-,1172842,1147936,1159541,948608
Cash at end of period,-,1028954,1172842,1147936,1159541
Operating Cash Flow,-,22176,116441,73326,311779
Capital Expenditure,-,-23214,-12274,-759,-7948
Free Cash Flow,-,-1038,104167,72567,303831
