Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1464807,-190590,20771,20307
Depreciation & amortization,-,615521,682500,619466
Change in working capital,-,473625,-194845,-83773
Inventory,-,-34494,-9496,1424
Other working capital,-,-349542,-80730,103559
Other non-cash items,-,75098,-60951,82774
Net cash provided by operating activites,-,516377,576805,596599
Investments in property plant and equipment,-,-865919,-657535,-493040
Purchases of investments,-,-10045,-8619,-1236
Sales/Maturities of investments,-,6600,11703,-
Other investing activites,-,-26584,-38120,117612
Net cash used for investing activites,-,2462608,-650439,-330771
Net change in cash,-,286296,-395806,601624
Cash at beginning of period,-,1053738,1449544,847919
Cash at end of period,-,1340034,1053738,1449544
Operating Cash Flow,-,516377,576805,596599
Capital Expenditure,-,-865919,-657535,-493040
Free Cash Flow,-,-349542,-80730,103559
