Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-113500,-763800,-76100,-322900,-180300
Sales/Maturities of investments,-,118100,-,311000,60900
Other investing activites,-,-,-,-83800,-
Net cash used for investing activites,-74800,-645700,-69400,-92300,-119100
Debt repayment,-373000,-726000,-206000,-530100,-15000
Common stock issued,45900,409400,12700,18800,24300
Common stock repurchased,-,-6200,-,-,-
Dividends Paid,-135400,-119600,-100500,-92500,-85300
Net cash used privided by (used for) financing activities,-76700,525900,-44800,-20600,17200
Net change in cash,1200,500,100,-500,400
Cash at beginning of period,1900,3700,3600,4100,3700
Cash at end of period,3100,4200,3700,3600,4100
Free Cash Flow,152700,120300,114300,112400,102300
