Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1044,-2136,-4684,-14433,-47358
Purchases of investments,-,-,-4082,-,-918.3948
Sales/Maturities of investments,-,3833,-,-,-
Net cash used for investing activites,3254,2393,-8766,-14433,-47839
Debt repayment,-386.2893,-1186,-6222,-13318,-371.6671
Common stock issued,-,-,-,22258,2316
Common stock repurchased,-,-,-,-713.7285,-126.5823
Other financing activites,-,-886.9243,-200.2435,-292.5117,-1221
Net cash used privided by (used for) financing activities,5876,-2073,-6423,25129,25509
Net change in cash,-2919,-9551,3147,7639,-28652
Cash at beginning of period,10646,17053,13017,4887,33652
Cash at end of period,7727,7513,16180,12508,5062
Capital Expenditure,-1044,-2136,-4684,-14433,-47358
Free Cash Flow,-13093,-12006,13652,-17490,-53680
