Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,-3445,27427,131719,-101136
Depreciation & amortization,-,60868,55129,3371
Change in working capital,-,-151213,-10851,-36585
Inventory,-,-18810,-120665,-14084
Other working capital,-622011,-897459,-608518,-424507
Other non-cash items,-,6796,15191,9951
Net cash provided by operating activites,-1938,-85669,-20645,-50083
Investments in property plant and equipment,-620073,-811790,-587873,-374424
Acquisitions net,1413,-35533,-,-
Purchases of investments,-537752,-846037,-1217126,-123050
Sales/Maturities of investments,527636,847634,1325342,97659
Other investing activites,-,-,67563,25073
Net cash used for investing activites,-547858,-671257,-359977,-369723
Net change in cash,-406430,-459407,-226261,-377079
Cash at beginning of period,463042,582511,784546,1184598
Cash at end of period,56612,110802,582511,784546
Operating Cash Flow,-1938,-85669,-20645,-50083
Capital Expenditure,-620073,-811790,-587873,-374424
Free Cash Flow,-622011,-897459,-608518,-424507
