Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,60724,60724,51510,42020,45728
Interest Expense,22655,22655,13771,8280,6764
Income Before Tax,40072,40072,33415,24227,27638
Income Tax Expense,9785,9785,8377,12389,8695
Income from Continuing Operations,30287,30287,25038,11838,18943
Net Income,29841,29841,24824,11870,18510
Net Income available to common shareholders,29817,29817,24378,10751,17310
Basic EPS,-,-,2.30,1.16,1.90
Diluted EPS,-,-,2.07,1.02,1.55
Basic Average Shares,-,-,10592,9266,9113
Diluted Average Shares,-,-,12002,11567,11932
