Breakdown,ttm,2/28/2019,2/28/2018
Net Income,1429000,2249000,2187000
Depreciation & amortization,-,2297000,2216000
Change in working capital,-,-1187000,-534000
Inventory,-,-1344000,-894000
Other working capital,-,-3060000,3662000
Other non-cash items,-,402000,23000
Net cash provided by operating activites,-,2845000,4989000
Investments in property plant and equipment,-,-5905000,-1327000
Acquisitions net,-,-,-520000
Sales/Maturities of investments,-,0,126000
Other investing activites,-,61000,225000
Net cash used for investing activites,-,-5804000,-1496000
Net change in cash,-,446000,75000
Cash at beginning of period,-,1264000,1189000
Cash at end of period,-,1711000,1264000
Operating Cash Flow,-,2845000,4989000
Capital Expenditure,-,-5905000,-1327000
Free Cash Flow,-,-3060000,3662000
