Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-5.622,-570.5,-186.467,-32.993
Purchases of investments,-,-,-,-20,-
Net cash used for investing activites,-,-5.622,-570.5,-206.467,-32.993
Common stock issued,1913,1455,3742,1567,1049
Common stock repurchased,-158.344,-77.665,-360.878,-138.175,-25.717
Net cash used privided by (used for) financing activities,1755,1377,3381,1429,1024
Net change in cash,263.237,-1139,171.87,620.706,406.121
Cash at beginning of period,886.107,2009,1837,1216,810.126
Cash at end of period,1149,869.558,2009,1837,1216
Capital Expenditure,-,-5.622,-570.5,-186.467,-32.993
Free Cash Flow,-1492,-2516,-3209,-787.989,-617.457
