Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,324604,373352,472871,541668
Liabilities,,,,
Total Liabilities,2020,3158,44527,62313
Stockholders' Equity,,,,
Common Stock,254372,273207,353517,453199
Retained Earnings,68212,96987,74827,26156
Total stockholders' equity,322584,370194,428344,479355
Total liabilities and stockholders' equity,324604,373352,472871,541668
