Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-43.78,-545.342,-352.37,-71.95
Other investing activites,-,70.2,94.453,-,-
Net cash used for investing activites,26.674,26.42,-450.889,-352.37,-71.95
Debt repayment,-37.345,-21.76,-73.509,-86.9,-7
Common stock issued,186,180.5,711.804,838.939,146
Common stock repurchased,-,-,-0.031,-,-0.01
Net cash used privided by (used for) financing activities,187.625,227.74,638.264,761.739,280.79
Net change in cash,-3.048,8.768,-100.568,110.869,0.606
Cash at beginning of period,51.989,26.134,126.494,15.514,15.132
Cash at end of period,48.941,35.165,26.134,126.494,15.514
Capital Expenditure,-,-43.78,-545.342,-352.37,-71.95
Free Cash Flow,-269.766,-289.172,-833.285,-650.87,-280.184
