Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1050600,560098,174949,278535
Depreciation & amortization,-,65576,67236,68946
Change in working capital,-,-654627,61265,-90453
Inventory,-,-2500,21062,-22070
Other working capital,-,176574,225181,341472
Other non-cash items,-,4281,34446,7211
Net cash provided by operating activites,-,228231,244100,404511
Investments in property plant and equipment,-,-51657,-18919,-63039
Acquisitions net,-,-200000,-,-
Purchases of investments,-,-244148,-161594,-243692
Sales/Maturities of investments,-,33632,104393,10000
Other investing activites,-,-41687,-34817,-36113
Net cash used for investing activites,-,-503860,-110937,-332844
Net change in cash,-,152045,57332,358121
Cash at beginning of period,-,977629,920297,562176
Cash at end of period,-,1129675,977629,920297
Operating Cash Flow,-,228231,244100,404511
Capital Expenditure,-,-51657,-18919,-63039
Free Cash Flow,-,176574,225181,341472
