Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,705707,721877,647271,621292
Depreciation & amortization,-,435139,365827,308159
Change in working capital,-,-489655,-405764,-281175
Inventory,-,-303048,-317672,-151609
Other working capital,-,175165,-244661,482984
Other non-cash items,-,-8875,-73466,-30283
Net cash provided by operating activites,-,523427,491197,722904
Investments in property plant and equipment,-,-348262,-735858,-239920
Purchases of investments,-,-503143,-1487,-496535
Sales/Maturities of investments,-,759605,200000,-
Other investing activites,-,-22468,-22578,3291
Net cash used for investing activites,-,4998,-559304,-732713
Net change in cash,-,266872,-325890,-227672
Cash at beginning of period,-,1281861,1607751,1835424
Cash at end of period,-,1548734,1281861,1607751
Operating Cash Flow,-,523427,491197,722904
Capital Expenditure,-,-348262,-735858,-239920
Free Cash Flow,-,175165,-244661,482984
