Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,59300,59300,54955,47472,43265
Interest Expense,18919,18919,14286,10182,8142
Income Before Tax,20937,20937,15401,16365,11747
Income Tax Expense,5665,5665,4173,9157,4416
Income from Continuing Operations,15272,15272,11228,7208,7331
Net Income,15272,15272,11228,7208,7331
Net Income available to common shareholders,15272,15272,11228,7208,7331
Basic EPS,-,-,2.02,1.56,1.60
Diluted EPS,-,-,2.02,1.56,1.59
Basic Average Shares,-,-,5551,4628,4588
Diluted Average Shares,-,-,5551,4629,4618
