Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,232484,205894,660649,272639
Depreciation & amortization,-,128672,132019,115086
Change in working capital,-,1272555,-1039322,601156
Other working capital,-,1183196,-354567,567830
Other non-cash items,-,1735,47,13136
Net cash provided by operating activites,-,1390765,-121315,1165046
Investments in property plant and equipment,-,-207569,-233252,-597216
Purchases of investments,-,0,-98245,0
Sales/Maturities of investments,-,543,-,-
Other investing activites,-,-11,-1002,629
Net cash used for investing activites,-,-207037,-332175,-596241
Net change in cash,-,1081530,-498434,548801
Cash at beginning of period,-,3699165,4197600,3648798
Cash at end of period,-,4780696,3699165,4197600
Operating Cash Flow,-,1390765,-121315,1165046
Capital Expenditure,-,-207569,-233252,-597216
Free Cash Flow,-,1183196,-354567,567830
