Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1302,-1787,-194.235,-232.197,-858.917
Other investing activites,-30,-,-,-,-
Net cash used for investing activites,-1332,-1807,-194.235,-232.197,-849.542
Common stock issued,2380,327,1190,679.862,1625
Common stock repurchased,-,-4.563,-79.356,-4.368,-94.851
Net cash used privided by (used for) financing activities,2375,322.437,1111,675.494,1530
Net change in cash,756.721,-,-,-,-
Cash at beginning of period,800.872,1919,1416,1400,1253
Cash at end of period,1558,191.201,1919,1416,1400
Capital Expenditure,-1302,-1787,-194.235,-232.197,-858.917
Free Cash Flow,-1588,-2027,-607.979,-659.107,-1415
