Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,253495,413401,438687,197100
Depreciation & amortization,-,266708,242123,213004
Change in working capital,-,734370,-286791,-518291
Inventory,-,452634,-462243,-154584
Other working capital,-,1140815,271083,-9708
Other non-cash items,-,88344,59154,266064
Net cash provided by operating activites,-,1385566,348028,81293
Investments in property plant and equipment,-,-244751,-76945,-91001
Purchases of investments,-,-7433,-150162,-20796
Sales/Maturities of investments,-,67512,-,-
Other investing activites,-,-2564,38336,-5723
Net cash used for investing activites,-,-159590,-200393,-96570
Net change in cash,-,463692,817300,-554573
Cash at beginning of period,-,2427676,1610375,2164948
Cash at end of period,-,2891368,2427676,1610375
Operating Cash Flow,-,1385566,348028,81293
Capital Expenditure,-,-244751,-76945,-91001
Free Cash Flow,-,1140815,271083,-9708
