Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,79756,79756,71027,64523,53829
Interest Expense,84447,84447,53200,30715,19210
Income Before Tax,27156,27156,23952,22928,17985
Income Tax Expense,1917,1917,2052,7702,5911
Income from Continuing Operations,25239,25239,21900,15226,12074
Net Income,25239,25239,21900,15226,12074
Net Income available to common shareholders,25239,25239,21900,15226,12074
Basic EPS,-,-,2.31,2.14,2.32
Diluted EPS,-,-,2.30,2.13,2.30
Basic Average Shares,-,-,9491,7119,5211
Diluted Average Shares,-,-,9509,7149,5239
