Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-75.577,-315.603,-
Net cash used for investing activites,-76.577,-315.603,-
Common stock issued,-,-,4639
Common stock repurchased,-2.244,-9.002,-
Net cash used privided by (used for) financing activities,-27.005,-9.002,4639
Net change in cash,-1651,-2982,3436
Cash at beginning of period,1734,3648,212.725
Cash at end of period,82.212,666.222,3648
Capital Expenditure,-75.577,-315.603,-
Free Cash Flow,-1623,-2973,-1204
