Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2602,-2602,-2635,-2180,-2226
Acquisitions net,-,-,-811.435,-1612,-1305
Net cash used for investing activites,-2602,-2602,-3447,-3792,-3531
Debt repayment,-4879,-4879,-,-,-
Common stock issued,3461,3461,5895,568.903,-
Common stock repurchased,-,-,-110.585,-167.018,-119.485
Other financing activites,-498.506,-498.506,-,-,-
Net cash used privided by (used for) financing activities,3665,3665,7813,401.885,-119.485
Net change in cash,-1260,-1260,-448.684,-8405,-10471
Cash at beginning of period,1976,1976,2419,10439,20983
Cash at end of period,702.702,702.702,1976,2419,10439
Capital Expenditure,-2602,-2602,-2635,-2180,-2226
Free Cash Flow,-4925,-4925,-7450,-7195,-9046
