Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2090361,2346133,1963208,1819172
Depreciation & amortization,-,988550,881765,738555
Change in working capital,-,-22174,-1748709,83250
Inventory,-,-262481,-773352,48157
Other working capital,-,1830937,-960720,1855002
Other non-cash items,-,10677,158246,-63667
Net cash provided by operating activites,-,3077639,1322517,2658684
Investments in property plant and equipment,-,-1246702,-2283237,-803682
Purchases of investments,-,-1901100,-1447431,-48670
Sales/Maturities of investments,-,600000,-,149139
Other investing activites,-,-72068,52749,-163392
Net cash used for investing activites,-,-2162023,-3658109,-861177
Net change in cash,-,380904,-2270163,1255040
Cash at beginning of period,-,11836609,14106772,12851732
Cash at end of period,-,12217514,11836609,14106772
Operating Cash Flow,-,3077639,1322517,2658684
Capital Expenditure,-,-1246702,-2283237,-803682
Free Cash Flow,-,1830937,-960720,1855002
