Breakdown,6/30/2019,6/30/2018,12/31/2017
Total Assets,29377,35511,37136
Liabilities,,,
Total Liabilities,2920,2869,3555
Stockholders' Equity,,,
Common Stock,66162,66162,66701
Retained Earnings,-17078,-10010,-7626
Accumulated other comprehensive income,-22568,-23510,-25495
Total stockholders' equity,26516,32642,33581
Total liabilities and stockholders' equity,29377,35511,37136
