Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4126,-3479,-2005,-1290,-1005
Purchases of investments,-,-,-587.021,-,-
Other investing activites,-,-,-,5860,540.687
Net cash used for investing activites,-4077,-3179,-2517,4631,-444.778
Common stock issued,-,6962,870.026,2052,3162
Common stock repurchased,-335.867,-337.804,-3.816,-113.02,-186.564
Net cash used privided by (used for) financing activities,6123,6625,866.21,1939,2975
Net change in cash,1170,2664,-2081,6180,2235
Cash at beginning of period,6349,7190,9204,3202,981.124
Cash at end of period,7520,10205,7190,9204,3202
Capital Expenditure,-4126,-3479,-2005,-1290,-1005
Free Cash Flow,-5001,-4262,-2435,-1679,-1301
