Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Net Income,188591,-230616,462992,1037139,-389248
Depreciation & amortization,204565,179204,177401,149793,176125
Change in working capital,1324880,194768,-513055,-2438426,247437
Inventory,1482834,-1859372,665631,-1968326,-313922
Other working capital,1599494,-442567,-765220,-526336,-451657
Other non-cash items,210978,-103048,-62299,46226,26284
Net cash provided by operating activites,1991007,-49146,-603322,-503197,-311488
Investments in property plant and equipment,-391513,-393421,-161898,-23139,-140169
Purchases of investments,-1072760,-1084218,-1071362,-7420,-7391
Sales/Maturities of investments,1064032,1075984,1072449,-,142712
Other investing activites,-1639,-1299,-124,-5234,-7635
Net cash used for investing activites,-348180,-402954,-195085,-52301,-11404
Net change in cash,592302,-190691,57924,262339,-514772
Cash at beginning of period,1406571,1549375,1491450,1229111,1743883
Cash at end of period,2010504,1358684,1549375,1491450,1229111
Operating Cash Flow,1991007,-49146,-603322,-503197,-311488
Capital Expenditure,-391513,-393421,-161898,-23139,-140169
Free Cash Flow,1599494,-442567,-765220,-526336,-451657
