Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,160207,160207,147084,136393,112670
Interest Expense,25435,25435,16462,11431,8440
Income Before Tax,60637,60637,56875,48452,41597
Income Tax Expense,11267,11267,10626,16184,12754
Income from Continuing Operations,49370,49370,46249,32268,28843
Net Income,49370,49370,46249,32268,28843
Net Income available to common shareholders,49334,49334,46233,32263,28804
Basic EPS,-,-,2.27,1.61,1.60
Diluted EPS,-,-,2.26,1.61,1.59
Basic Average Shares,-,-,20358,19950,17960
Diluted Average Shares,-,-,20449,20068,18106
