Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5430894,5525055,5785156,5118663
Depreciation & amortization,-,2034787,2316998,2507362
Change in working capital,-,-5134427,-4522761,1629175
Inventory,-,-1448039,917799,-494164
Other working capital,-,626428,722141,4623086
Other non-cash items,-,194952,66576,469019
Net cash provided by operating activites,-,1492724,3079979,10521010
Investments in property plant and equipment,-,-866296,-2357838,-5897924
Purchases of investments,-,-,-,-2600000
Sales/Maturities of investments,-,857250,-,-
Other investing activites,-,86504,95044,-97526
Net cash used for investing activites,-,86944,-2562730,-8590339
Net change in cash,-,-231744,-1189075,353579
Cash at beginning of period,-,6381132,7570208,7216628
Cash at end of period,-,6149388,6381132,7570208
Operating Cash Flow,-,1492724,3079979,10521010
Capital Expenditure,-,-866296,-2357838,-5897924
Free Cash Flow,-,626428,722141,4623086
