Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-33741,-33741,-,-,-
Purchases of investments,-18842,-18842,-75987,-47133,-2637
Sales/Maturities of investments,16416,16416,-,22333,-
Other investing activites,-2431,-2431,-5872,-547,-269
Net cash used for investing activites,-38598,-38598,-81859,-25347,-2906
Debt repayment,-34749,-34749,-25300,-24750,-
Common stock issued,25000,25000,30040,20000,-
Common stock repurchased,-758,-758,-936,-82,-3304
Dividends Paid,-13360,-13360,-10809,-9605,-6386
Other financing activites,-,-,-261,-,-
Net cash used privided by (used for) financing activities,33694,33694,63793,24563,-6690
Net change in cash,15690,15690,-6866,8863,-707
Cash at beginning of period,4523,4523,11389,2526,3233
Cash at end of period,20213,20213,4523,11389,2526
Capital Expenditure,-33741,-33741,-,-,-
Free Cash Flow,-13147,-13147,11200,9647,8889
