Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,29841,29841,28895,27967,26115
Interest Expense,4183,4183,3676,3594,4084
Income Before Tax,12111,12111,11021,11483,11252
Income Tax Expense,2370,2370,2187,3637,3102
Income from Continuing Operations,9741,9741,8834,7846,8150
Net Income,9741,9741,8834,7846,8150
Net Income available to common shareholders,9741,9741,8834,7846,8150
Basic EPS,-,-,2.42,2.15,2.24
Diluted EPS,-,-,2.42,2.15,2.24
Basic Average Shares,-,-,3644,3644,3644
Diluted Average Shares,-,-,3644,3644,3644
