Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,11034000,11838000,2004000,-3234000
Depreciation & amortization,-,1311000,1449000,1860000
Change in working capital,-,-6556000,-1876000,2694000
Inventory,-,-4021000,-122000,1113000
Other working capital,-,11289000,797000,1250000
Other non-cash items,-,397000,297000,-162000
Net cash provided by operating activites,-,12255000,993000,1890000
Investments in property plant and equipment,-,-966000,-196000,-640000
Purchases of investments,-,-272000,-241000,-229000
Sales/Maturities of investments,-,220000,210000,190000
Other investing activites,-,-84000,-4000,35000
Net cash used for investing activites,-,-1102000,-231000,-644000
Net change in cash,-,9994000,373000,733000
Cash at beginning of period,-,5266000,4893000,4159000
Cash at end of period,-,15261000,5266000,4893000
Operating Cash Flow,-,12255000,993000,1890000
Capital Expenditure,-,-966000,-196000,-640000
Free Cash Flow,-,11289000,797000,1250000
