Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4371000,3838000,3361000,3087312
Depreciation & amortization,-,6951000,6607000,6143737
Change in working capital,-,-6916000,-5852000,-3066078
Inventory,-,-6772000,-6321000,-5768718
Other working capital,-,2282000,3552000,5141902
Other non-cash items,-,285000,16000,121329
Net cash provided by operating activites,-,4199000,4333000,6239738
Investments in property plant and equipment,-,-1917000,-781000,-1097836
Acquisitions net,-,-476000,-,-
Other investing activites,-,-55000,-61000,-50171
Net cash used for investing activites,-,-2448000,-824000,-1148007
Net change in cash,-,-562000,242000,1678313
Cash at beginning of period,-,4554000,4311000,2633454
Cash at end of period,-,3992000,4554000,4311768
Operating Cash Flow,-,4199000,4333000,6239738
Capital Expenditure,-,-1917000,-781000,-1097836
Free Cash Flow,-,2282000,3552000,5141902
