Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Purchases of investments,-18725,-17705,-17869,-4877
Sales/Maturities of investments,818,3710,48955,9351
Other investing activites,-,-,-,-548
Net cash used for investing activites,-17907,-13995,31086,3926
Net change in cash,-1182,1179,-9844,8480
Cash at beginning of period,-,1517,11361,2881
Cash at end of period,-,2696,1517,11361
Free Cash Flow,-1664,-1551,-2242,-210
