Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1764243,1695176,1603209,1504839
Liabilities,,,,
Total Liabilities,1520053,1465328,1378121,1296804
Stockholders' Equity,,,,
Common Stock,7753,7753,6524,5966
Retained Earnings,90341,75171,59314,118363
Accumulated other comprehensive income,-13920,-18872,-13320,-14543
Total stockholders' equity,244190,229848,225088,208035
Total liabilities and stockholders' equity,1764243,1695176,1603209,1504839
