Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,341537,325246,304328,478525
Depreciation & amortization,-,257929,258240,256400
Change in working capital,-,-323709,-296338,-177367
Inventory,-,-92387,-38548,-108051
Other working capital,516041,-91299,-71997,65732
Other non-cash items,-,1274,-33479,-54345
Net cash provided by operating activites,752046,144706,184417,276142
Investments in property plant and equipment,-,-236005,-256414,-210410
Acquisitions net,-,0,-155,-
Purchases of investments,-,0,-97811,-54250
Sales/Maturities of investments,-,21437,154807,205850
Other investing activites,-,167732,137173,693084
Net cash used for investing activites,238667,238763,54389,727131
Net change in cash,583964,-106027,-1500621,1785632
Cash at beginning of period,1416152,2099699,3573414,1841644
Cash at end of period,2000116,1975982,2099699,3573414
Operating Cash Flow,752046,144706,184417,276142
Capital Expenditure,-,-236005,-256414,-210410
Free Cash Flow,516041,-91299,-71997,65732
