Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-27.051,-2.512
Purchases of investments,-,-,-,-15.203,-22058
Net cash used for investing activites,-,-,-,-42.254,-16933
Debt repayment,-,-,-326.001,-1923,-500
Common stock issued,-,-,-,8606,2055
Common stock repurchased,-,-,-,-69.012,-349.018
Other financing activites,-,-,-,-0.2,-
Net cash used privided by (used for) financing activities,3975,3519,2839,21067,18881
Net change in cash,645.529,524.302,-241.783,-483.211,699.487
Cash at beginning of period,13.169,18.512,260.295,743.506,44.019
Cash at end of period,658.698,542.814,18.512,260.295,743.506
Capital Expenditure,-,-,-,-27.051,-2.512
Free Cash Flow,-3329,-2995,-3080,-21535,-1251
