Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-,-0.443
Purchases of investments,-,-173.972
Net cash used for investing activites,-,-174.415
Common stock issued,-,4666
Common stock repurchased,-,-420.804
Net cash used privided by (used for) financing activities,-,4245
Net change in cash,-1926,2505
Cash at beginning of period,3648,163.716
Cash at end of period,1722,2668
Capital Expenditure,-,-0.443
Free Cash Flow,-1867,-1567
