Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-,-19.079
Net cash used for investing activites,-,-19.079
Common stock issued,893.055,5932
Net cash used privided by (used for) financing activities,1197,5932
Net change in cash,-903.078,4506
Cash at beginning of period,5083,103.895
Cash at end of period,4180,4610
Capital Expenditure,-,-19.079
Free Cash Flow,-2100,-1426
