Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7690000,10547000,12116000,11634000
Depreciation & amortization,-,4320000,4460000,4375000
Change in working capital,-,-46922000,-8388000,-60275000
Other working capital,-,-57942000,-22166000,-71107000
Other non-cash items,-,-44558000,-49344000,-44190000
Net cash provided by operating activites,-,-54600000,-17881000,-65459000
Investments in property plant and equipment,-,-3342000,-4285000,-5648000
Purchases of investments,-,-56132000,-34164000,-143746000
Sales/Maturities of investments,-,101474000,134329000,98199000
Other investing activites,-,-86000,-125000,-297000
Net cash used for investing activites,-,41914000,95967000,-51296000
Net change in cash,-,-15467000,75322000,-120688000
Cash at beginning of period,-,288950000,213628000,334317000
Cash at end of period,-,273483000,288950000,213628000
Operating Cash Flow,-,-54600000,-17881000,-65459000
Capital Expenditure,-,-3342000,-4285000,-5648000
Free Cash Flow,-,-57942000,-22166000,-71107000
