Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2428000,2632000,2921000,2833000
Depreciation & amortization,-,3091000,3141000,3309000
Change in working capital,-,-466000,-334000,94000
Inventory,-,-165000,148000,477000
Other working capital,-,2909000,3520000,3839000
Other non-cash items,-,-2158000,-2451000,-2140000
Net cash provided by operating activites,-,2909000,3520000,3839000
Acquisitions net,-,-,-,-29000
Purchases of investments,-,-1548000,-2318000,-
Other investing activites,-,-213000,-250000,-305000
Net cash used for investing activites,-,-1761000,-2498000,-334000
Net change in cash,-,2067000,2269000,2256000
Cash at beginning of period,-,13651000,11382000,9126000
Cash at end of period,-,15719000,13651000,11382000
Operating Cash Flow,-,2909000,3520000,3839000
Free Cash Flow,-,2909000,3520000,3839000
