Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,298630,241494,199608,126975
Depreciation & amortization,-,69231,58186,62868
Change in working capital,-,-9403,5154,-190835
Inventory,-,-3813,125,708
Other working capital,-,94325,267962,-33267
Other non-cash items,-,2428,5033,-9058
Net cash provided by operating activites,-,247458,322172,17812
Investments in property plant and equipment,-,-153133,-54210,-51079
Acquisitions net,-,-,-55621,-
Purchases of investments,-,-5687,-5687,-56812
Sales/Maturities of investments,-,-,-,101052
Other investing activites,-,2198,37100,7500
Net cash used for investing activites,-,-156622,-77718,661
Net change in cash,-,30404,190205,-45275
Cash at beginning of period,-,1261871,1071665,1116940
Cash at end of period,-,1292276,1261871,1071665
Operating Cash Flow,-,247458,322172,17812
Capital Expenditure,-,-153133,-54210,-51079
Free Cash Flow,-,94325,267962,-33267
