Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8624072,7739072,7224135,6372297
Depreciation & amortization,2131998,2132998,2103899,1811398
Change in working capital,-1405557,-1640557,-1491319,1087872
Inventory,352499,-1207501,-636846,-167496
Other working capital,7804363,6984363,6879261,7808172
Other non-cash items,198091,544091,195450,275185
Net cash provided by operating activites,9902942,8848942,8212940,9090286
Investments in property plant and equipment,-2098579,-1864579,-1333679,-1282114
Acquisitions net,-,-,-1080000,-3071641
Purchases of investments,-2405289,-1590289,-2150383,-167228
Sales/Maturities of investments,-,-,936402,-
Other investing activites,118640,20640,-431223,-38101
Net cash used for investing activites,-4049274,-3092274,-2686260,-4559084
Net change in cash,5659869,1923869,2613462,11390799
Cash at beginning of period,23623000,24432474,21819012,10428212
Cash at end of period,29362274,26356343,24432474,21819012
Operating Cash Flow,9902942,8848942,8212940,9090286
Capital Expenditure,-2098579,-1864579,-1333679,-1282114
Free Cash Flow,7804363,6984363,6879261,7808172
