Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,474042,523014,461483,647816
Depreciation & amortization,-,484202,524209,750438
Change in working capital,-,74999,18037,107887
Other working capital,-,146665,916902,217331
Other non-cash items,-,16599,26335,26501
Net cash provided by operating activites,-,1083471,998265,1162762
Investments in property plant and equipment,-,-936806,-81363,-945431
Purchases of investments,-,-22011,-229547,-21745
Sales/Maturities of investments,-,-,393772,-
Other investing activites,-,-1,318564,-
Net cash used for investing activites,-,-926609,428711,-928040
Net change in cash,-,37793,1308891,117519
Cash at beginning of period,-,5381285,4072394,3954874
Cash at end of period,-,5419079,5381285,4072394
Operating Cash Flow,-,1083471,998265,1162762
Capital Expenditure,-,-936806,-81363,-945431
Free Cash Flow,-,146665,916902,217331
