Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,2361824,2360571,2051268,2165136
Depreciation & amortization,-,1317165,1292352,1292338
Change in working capital,-,428937,-2172974,-8973
Inventory,-,290924,-1968608,326033
Other working capital,-,3385603,63325,2432885
Other non-cash items,-,293758,405908,246449
Net cash provided by operating activites,-,4789168,1226506,4297060
Investments in property plant and equipment,-,-1403565,-1163181,-1864175
Other investing activites,-,-349245,-353915,-418227
Net cash used for investing activites,-,-1751846,-1519948,-2281066
Net change in cash,-,419551,589407,519597
Cash at beginning of period,-,2466856,1877448,1357851
Cash at end of period,-,2886408,2466856,1877448
Operating Cash Flow,-,4789168,1226506,4297060
Capital Expenditure,-,-1403565,-1163181,-1864175
Free Cash Flow,-,3385603,63325,2432885
