Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-15585,-12820,-27977,-3770,-3074
Other investing activites,998.4475,-54.1851,-202.9495,-227.5091,-
Net cash used for investing activites,-14586,-12875,-28178,-3995,-3029
Debt repayment,-,-11550,-,-,-
Common stock issued,-,52207,23496,-,-
Common stock repurchased,-,-3387,-902.4489,-292.5117,-
Net cash used privided by (used for) financing activities,42189,33953,22594,-292.5117,-
Net change in cash,22085,2311,-8460,-10547,-28130
Cash at beginning of period,14640,8477,16505,26403,55489
Cash at end of period,36725,10528,8044,15859,27349
Capital Expenditure,-15585,-12820,-27977,-3770,-3074
Free Cash Flow,-21103,-31587,-30854,-10030,-28175
