Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2594659,2763595,2749872,2740620
Depreciation & amortization,-,32624,35308,35021
Change in working capital,-,610378,-2086902,383445
Inventory,-,25582,-,-
Other working capital,-,3389143,719375,2930110
Other non-cash items,-,-608,-437,-149
Net cash provided by operating activites,-,3421852,736427,3012296
Investments in property plant and equipment,-,-32709,-17052,-82186
Other investing activites,-,-18171,4806,-4426
Net cash used for investing activites,-,-50100,-43113,-100379
Net change in cash,-,-316791,575687,346147
Cash at beginning of period,-,2855199,2279511,1933364
Cash at end of period,-,2538408,2855199,2279511
Operating Cash Flow,-,3421852,736427,3012296
Capital Expenditure,-,-32709,-17052,-82186
Free Cash Flow,-,3389143,719375,2930110
