Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-12,-
Purchases of investments,-,670.186,-,-,-
Other investing activites,-,-,-,-,20
Net cash used for investing activites,-3408,670.186,4078,3663,470
Other financing activites,4700,600,-4000,-,-
Net cash used privided by (used for) financing activities,4700,600,-4000,-,-
Net change in cash,871.362,175.899,-972.61,1424,-931
Cash at beginning of period,588.341,588.341,1561,137,1068
Cash at end of period,1460,764.24,588.341,1561,137
Capital Expenditure,-,-,-,-12,-
Free Cash Flow,-420.99,-1094,-1050,-2251,-1401
