Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,34095000,38739000,37416000,40786000
Depreciation & amortization,-,16444000,15088000,12483000
Change in working capital,-,-521000,-2122000,4689000
Other working capital,-,27983000,7188000,35721000
Other non-cash items,-,-2814000,1223000,-400000
Net cash provided by operating activites,-,50480000,50435000,60134000
Investments in property plant and equipment,-,-22497000,-43247000,-24413000
Acquisitions net,-,-2164000,-,-
Purchases of investments,-,-108351000,-122188000,-124566000
Sales/Maturities of investments,-,90272000,139721000,48760000
Other investing activites,-,962000,-3152000,-12229000
Net cash used for investing activites,-,-40976000,-29895000,-111347000
Net change in cash,-,-2527000,11207000,-62190000
Cash at beginning of period,-,48292000,37028000,99204000
Cash at end of period,-,45764000,48292000,37028000
Operating Cash Flow,-,50480000,50435000,60134000
Capital Expenditure,-,-22497000,-43247000,-24413000
Free Cash Flow,-,27983000,7188000,35721000
