Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,3829550000,3367165000,3639521000,2946338000
Operating Income or Loss,-,-,-,272543000
Interest Expense,1714894000,1517981000,1028755000,769639000
Income Before Tax,1013567000,870842000,1661819000,272543000
Income Tax Expense,211196000,133237000,407823000,94453000
Income from Continuing Operations,802371000,737605000,1253996000,178090000
Net Income,781936000,718645000,1228160000,202680000
Net Income available to common shareholders,782438000,718645000,1228160000,202680000
Basic EPS,-,63.85,92.40,14.93
Diluted EPS,-,63.85,92.10,14.68
Basic Average Shares,-,13667771,13291842,13574314
Diluted Average Shares,-,13667771,13335071,13584885
