Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-68542,-94086,-46546,-119638
Depreciation & amortization,-,17457,19181,19543
Change in working capital,-,19851,-63105,3076
Inventory,-,26635,-39415,5293
Other working capital,-37041,-31853,-108694,-67607
Other non-cash items,-,5004,14579,3009
Net cash provided by operating activites,-25315,-20767,-98802,-57150
Investments in property plant and equipment,-11726,-11086,-9892,-10457
Other investing activites,10615,8081,-20912,0
Net cash used for investing activites,52493,49982,-29408,24906
Net change in cash,42512,23798,-119397,40976
Cash at beginning of period,96752,109454,224212,186325
Cash at end of period,139264,129556,109454,224212
Operating Cash Flow,-25315,-20767,-98802,-57150
Capital Expenditure,-11726,-11086,-9892,-10457
Free Cash Flow,-37041,-31853,-108694,-67607
