Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,289512,285885,302477,298745,295367
Interest Expense,222057,216666,162104,130099,118026
Income Before Tax,107499,102212,121164,133341,122363
Income Tax Expense,21953,21975,35757,44464,41810
Income from Continuing Operations,85546,80237,85407,88877,80553
Net Income,85546,80237,85407,88877,80553
Net Income available to common shareholders,83979,78715,84196,87976,79792
Basic EPS,-,0.29,0.31,0.32,0.28
Diluted EPS,-,0.28,0.31,0.32,0.28
Basic Average Shares,-,275396,275590,277213,281567
Diluted Average Shares,-,277374,277298,279269,283786
