Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,248143,1449778,1383928,1191208
Depreciation & amortization,-,1724086,1663667,1615931
Change in working capital,-,-40841,-290902,-621066
Inventory,-,422939,-685081,-1070447
Other working capital,-,1330485,1728061,993464
Other non-cash items,-,244774,419192,428912
Net cash provided by operating activites,-,3133041,3398230,2703011
Investments in property plant and equipment,-,-1802556,-1670169,-1709547
Acquisitions net,-,-108541,-,-
Purchases of investments,-,-,-230396,-203488
Sales/Maturities of investments,-,-,-,30169
Other investing activites,-,-29164,295,-1891
Net cash used for investing activites,-,-594560,-1709447,-1815881
Net change in cash,-,1569452,1517082,408786
Cash at beginning of period,-,5412964,3895881,3487094
Cash at end of period,-,7031948,5412964,3895881
Operating Cash Flow,-,3133041,3398230,2703011
Capital Expenditure,-,-1802556,-1670169,-1709547
Free Cash Flow,-,1330485,1728061,993464
