Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-347.4365,-374.961,-148.5057,-25.2765
Acquisitions net,-,-40.8765,-,-
Purchases of investments,-,-,-1723,-
Other investing activites,-13751,-16956,-2985,-4664
Net cash used for investing activites,-12018,-15291,-4020,-4356
Debt repayment,-24879,-22205,-4563,-398.3563
Common stock issued,-,-,2077,3032
Other financing activites,-,-,-,576.9928
Net cash used privided by (used for) financing activities,13110,16182,12780,7191
Net change in cash,-2845,-3781,5862,-2721
Cash at beginning of period,6498,8185,1928,4484
Cash at end of period,3652,4212,7709,1833
Capital Expenditure,-347.4365,-374.961,-148.5057,-25.2765
Free Cash Flow,-4285,-5047,-3047,-5581
