Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6642,-1954,-3411,-717.284,-613.293
Acquisitions net,-,-,-341.997,-4150,-
Purchases of investments,-,-,-,-200,-
Sales/Maturities of investments,-,-,446.66,-,2043
Other investing activites,-,-,246.085,-,-
Net cash used for investing activites,-6387,240.087,-3046,-5067,1429
Common stock issued,10656,3906,1736,-,196
Net cash used privided by (used for) financing activities,10656,3906,1743,-,196
Net change in cash,1093,1771,-3809,1535,1066
Cash at beginning of period,3933,1090,4857,3322,2256
Cash at end of period,5026,2923,1090,4857,3322
Capital Expenditure,-6642,-1954,-3411,-717.284,-613.293
Free Cash Flow,-9818,-4330,-5917,5885,-1173
