Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,71045,71045,61590,46205,38941
Interest Expense,24625,24625,16521,10829,8413
Income Before Tax,20958,20958,17236,12450,11489
Income Tax Expense,4119,4119,3630,4248,3609
Income from Continuing Operations,16839,16839,13606,8202,7880
Net Income,16839,16839,13606,8202,7880
Net Income available to common shareholders,16675,16675,13606,8202,7880
Basic EPS,-,-,1.41,0.96,1.11
Diluted EPS,-,-,1.39,0.96,1.10
Basic Average Shares,-,-,9650,8544,7107
Diluted Average Shares,-,-,9788,8544,7169
